"id_no","binomial","area","lotic","lentic","lentic_only","length","importance","marine","FoodTroph","foodtrophcat","climate_zone","code"
2807,"Labeo lunatus",270769.044548186,1,1,0,40,"subsistence fisheries",0,2,"Herbi.",2,"LC"
2808,"Gnathonemus longibarbis",222008.889942666,1,1,0,NA,NA,NA,NA,NA,1,"LC"
2810,"Enteromius trispiloides",28063.1122199278,1,0,0,NA,NA,NA,NA,NA,1,"DD"
2817,"Clarias anguillaris",3455136.96514997,1,1,0,100,"minor commercial",0,3.35,"Carni.",1,"LC"
2821,"Distichodus decemmaculatus",246712.548037443,1,1,0,NA,NA,NA,NA,NA,1,"LC"
2827,"Chrysichthys thonneri",672982.59297395,1,1,0,NA,NA,NA,NA,NA,1,"LC"
2830,"Brycinus lateralis",1765026.07168919,0,0,0,14,"subsistence fisheries",0,3.5,"Carni.",3,NA
2831,"Omobranchus ferox",205148.609426088,1,1,0,6,"of no interest",0,3.5,"Carni.",1,"LC"
2834,"Hemichromis bimaculatus",1564495.33962555,1,0,0,NA,NA,NA,NA,NA,1,"LC"
2840,"Aphyosemion loennbergii",38477.4974522706,1,1,0,NA,NA,NA,NA,NA,1,"LC"
2842,"Enteromius pleurogramma",24060.3888679786,1,1,0,NA,NA,NA,NA,NA,1,"DD"
2845,"Schilbe yangambianus",660678.740690037,1,1,0,25,NA,0,2.86,"Carni.",1,"LC"
2848,"Phenacogrammus deheyni",136247.705472637,1,1,0,NA,NA,NA,NA,NA,1,"LC"
2850,"Labeobarbus altianalis",250337.276687868,1,1,0,90,NA,0,3.37,"Carni.",1,"LC"
2852,"Tropheops macrophthalmus",5056.87470152553,0,1,1,NA,NA,NA,NA,NA,1,"LC"
2853,"Labeobarbus oxyrhynchus",85182.3461207671,1,0,0,NA,NA,NA,NA,NA,1,"LC"
2860,"Placidochromis longimanus",1669.39092568725,0,1,1,14.5,"commercial",0,2,"Herbi.",1,"LC"
2862,"Maylandia fainzilberi",506.921682077324,NA,NA,0,NA,NA,NA,NA,NA,1,NA
2865,"Raiamas levequei",7277.35074528019,1,0,0,NA,NA,NA,NA,NA,1,"VU"
2867,"Chrysichthys auratus",2985572.06607204,1,1,0,57,"commercial",0,3.66,"Carni.",1,"LC"
2870,"Pseudobarbus afer",6593.97717266839,1,1,0,8.89999961853027," ",0,2.72,"Omni.",3,"EN"
2875,"Pterochromis congicus",189281.040220433,1,1,0,NA,NA,NA,NA,NA,1,"LC"
2879,"Chrysichthys delhezi",87451.6496110312,1,1,0,NA,NA,NA,NA,NA,1,"LC"
2881,"Petrochromis orthognathus",34890.675799273,0,1,1,16.5,"commercial",0,2,"Herbi.",1,"LC"
2886,"Lamprologus lemairii",33012.5919769452,0,1,1,25,NA,0,4.5,"Carni.",1,"LC"
2888,"Paradoxoglanis parvus",235877.044423601,1,1,0,NA,NA,NA,NA,NA,1,"LC"
2890,"Altolamprologus calvus",33012.5919769452,0,1,1,13.5," ",0,NA,NA,1,"NT"
2891,"Micralestes argyrotaenia",10022.6083025178,1,0,0,NA,NA,NA,NA,NA,2,"LC"
2892,"Clariallabes longicauda",287175.32443178,1,1,0,NA,NA,NA,NA,NA,1,"LC"
2895,"Enteromius traorei",10341.3766921154,1,0,0,NA,NA,NA,NA,NA,1,"VU"
2896,"Haplochromis erythrocephalus",70201.9485614657,0,1,1,7.69999980926514,NA,0,2.51,"Omni.",1,"DD"
2905,"Mormyrus longirostris",720908.094248556,1,1,0,75,"commercial",0,3.3,"Carni.",1,"LC"
2907,"Tropheops romandi",166.936638001007,0,1,1,NA,NA,NA,NA,NA,1,"LC"
2910,"Neolamprologus niger",34890.675799273,0,1,1,9,"commercial",0,3.6,"Carni.",1,"LC"
2912,"Tetracamphilius angustifrons",123077.678322794,1,1,0,NA,NA,NA,NA,NA,1,"DD"
2913,"Amphilius lamani",7028.05250078894,1,1,0,NA,NA,NA,NA,NA,1,"EN"
2914,"Croilia mossambica",211008.844661,1,1,0,6.40000009536743,NA,1,3.26,"Carni.",1,"LC"
2916,"Aulonocara saulosi",505.086671161861,0,1,1,9.19999980926514,"commercial",0,3.5,"Carni.",1,"LC"
2918,"Enteromius humeralis",458056.3847381,1,1,0,NA,NA,NA,NA,NA,1,"LC"
2920,"Cyphotilapia frontosa",33354.7184506497,0,1,1,33,"commercial",0,2.93,"Carni.",1,"LC"
2921,"Mormyrops masuianus",433698.711583745,1,1,0,NA,NA,NA,NA,NA,1,"LC"
2923,"Epiplatys togolensis",178193.964517783,1,0,0,NA,NA,NA,NA,NA,1,"LC"
2924,"Haplochromis katavi",15197.3693000757,1,1,0,NA,NA,NA,NA,NA,1,"VU"
2926,"Labeobarbus somereni",51751.1305697191,1,0,0,NA,NA,NA,NA,NA,1,"LC"
2931,"Parakneria cameronensis",269952.020686233,1,1,0,NA,NA,NA,NA,NA,1,"LC"
2937,"Hypsopanchax catenatus",3525.94022878293,1,0,0,NA,NA,NA,NA,NA,1,"DD"
2939,"Placidochromis lineatus",84.3398314721336,0,1,1,NA,NA,NA,NA,NA,1,"DD"
